Feature,label,P_Value,Normality
hf_energy,0,3.5049114148599867e-09,Abnormal
hf_energy,1,4.859961528149696e-06,Abnormal
hf_entropy,0,0.6036519733961653,Normal
hf_entropy,1,0.7993005235219575,Normal
hf_kurtosis,0,4.722610750943603e-06,Abnormal
hf_kurtosis,1,0.0005322952336209772,Abnormal
hf_max,0,0.2742972735485605,Normal
hf_max,1,0.00041332573971623854,Abnormal
hf_mean,0,0.05416740150525481,Normal
hf_mean,1,0.16965207512949232,Normal
hf_median,0,0.03194851976479722,Abnormal
hf_median,1,0.30281679108200255,Normal
hf_min,0,0.02750353712493151,Abnormal
hf_min,1,9.464224493649291e-06,Abnormal
hf_peak,0,4.523675302370808e-12,Abnormal
hf_peak,1,5.767579499083608e-11,Abnormal
hf_quartile_range,0,5.7876036461381453e-08,Abnormal
hf_quartile_range,1,0.04313247953323421,Abnormal
hf_range,0,5.388277535460252e-05,Abnormal
hf_range,1,7.323235475142415e-06,Abnormal
hf_skewness,0,0.855984812125173,Normal
hf_skewness,1,0.40415016622162925,Normal
hf_std,0,0.00029389012902302603,Abnormal
hf_std,1,0.0001175418410102889,Abnormal
of_theta_x,0,1.8195030282927355e-06,Abnormal
of_theta_x,1,3.2788999856990796e-07,Abnormal
of_theta_y,0,0.15908736415914365,Normal
of_theta_y,1,0.16810359232709676,Normal
of_theta_z,0,0.0043630320511918765,Abnormal
of_theta_z,1,6.558707243455558e-05,Abnormal
sf_compactness_avg_2D,0,0.06951730707929331,Normal
sf_compactness_avg_2D,1,0.0026426671780252304,Abnormal
sf_compactness_std_2D,0,0.007565392045580444,Abnormal
sf_compactness_std_2D,1,0.02483998362195567,Abnormal
sf_convexity_avg_2D,0,2.226329941980705e-05,Abnormal
sf_convexity_avg_2D,1,0.00020513237731904917,Abnormal
sf_convexity_std_2D,0,1.818468715390999e-05,Abnormal
sf_convexity_std_2D,1,0.0010517794554832283,Abnormal
sf_cvar_avg_2D,0,0.0056913534830072224,Abnormal
sf_cvar_avg_2D,1,7.94036484279939e-05,Abnormal
sf_cvar_std_2D,0,0.0008373635295701055,Abnormal
sf_cvar_std_2D,1,0.12306126793386668,Normal
sf_evar_avg_2D,0,1.7854742066289072e-07,Abnormal
sf_evar_avg_2D,1,0.0636318047340586,Normal
sf_evar_std_2D,0,0.009606706028593,Abnormal
sf_evar_std_2D,1,0.00308710405453146,Abnormal
sf_prax_avg_2D,0,0.3183473591014315,Normal
sf_prax_avg_2D,1,0.192273687487992,Normal
sf_prax_std_2D,0,0.13827351733651705,Normal
sf_prax_std_2D,1,0.48916583911294115,Normal
sf_rad_dist_avg_2D,0,5.36879374378575e-06,Abnormal
sf_rad_dist_avg_2D,1,0.09353471298403718,Normal
sf_rad_dist_std_2D,0,0.019883466125351374,Abnormal
sf_rad_dist_std_2D,1,0.11080575510542989,Normal
sf_roughness_avg_2D,0,0.040872569676355164,Abnormal
sf_roughness_avg_2D,1,0.0029557498417944693,Abnormal
sf_roughness_std_2D,0,6.195828072966266e-07,Abnormal
sf_roughness_std_2D,1,0.0001026484042387115,Abnormal
sf_solidity_avg_2D,0,0.0014541704927707232,Abnormal
sf_solidity_avg_2D,1,0.0005092712612578777,Abnormal
sf_solidity_std_2D,0,0.00012681909410105818,Abnormal
sf_solidity_std_2D,1,0.0008125638912507473,Abnormal
sf_volume_2D,0,5.150815841127717e-13,Abnormal
sf_volume_2D,1,1.7923116367797338e-09,Abnormal
tf_GLRLM_GrayLevelNonUniformity,0,2.8301611629160386e-09,Abnormal
tf_GLRLM_GrayLevelNonUniformity,1,9.026367533350196e-06,Abnormal
tf_GLRLM_GrayLevelNonUniformityNormalized,0,6.841276397577063e-10,Abnormal
tf_GLRLM_GrayLevelNonUniformityNormalized,1,4.135670561434547e-09,Abnormal
tf_GLRLM_GrayLevelVariance,0,6.841276397577213e-10,Abnormal
tf_GLRLM_GrayLevelVariance,1,4.135670561434547e-09,Abnormal
tf_GLRLM_HighGrayLevelRunEmphasis,0,9.334616750054376e-10,Abnormal
tf_GLRLM_HighGrayLevelRunEmphasis,1,1.6246880380366334e-08,Abnormal
tf_GLRLM_LongRunEmphasis,0,2.0395155994226167e-12,Abnormal
tf_GLRLM_LongRunEmphasis,1,5.240540464656477e-06,Abnormal
tf_GLRLM_LongRunHighGrayLevelEmphasis,0,5.602495666248137e-13,Abnormal
tf_GLRLM_LongRunHighGrayLevelEmphasis,1,9.140523273482701e-07,Abnormal
tf_GLRLM_LongRunLowGrayLevelEmphasis,0,2.3058113119966597e-08,Abnormal
tf_GLRLM_LongRunLowGrayLevelEmphasis,1,6.701719880104698e-05,Abnormal
tf_GLRLM_LowGrayLevelRunEmphasis,0,9.334616750054273e-10,Abnormal
tf_GLRLM_LowGrayLevelRunEmphasis,1,1.6246880380366572e-08,Abnormal
tf_GLRLM_RunEntropy,0,0.13539908053381938,Normal
tf_GLRLM_RunEntropy,1,0.370221766435595,Normal
tf_GLRLM_RunLengthNonUniformity,0,1.1960530485162507e-05,Abnormal
tf_GLRLM_RunLengthNonUniformity,1,0.0016744848620993218,Abnormal
tf_GLRLM_RunLengthNonUniformityNormalized,0,5.563834698413679e-06,Abnormal
tf_GLRLM_RunLengthNonUniformityNormalized,1,7.646269842722282e-05,Abnormal
tf_GLRLM_RunPercentage,0,8.768803319438323e-05,Abnormal
tf_GLRLM_RunPercentage,1,0.006345685988288163,Abnormal
tf_GLRLM_RunVariance,0,6.177800226660599e-11,Abnormal
tf_GLRLM_RunVariance,1,3.802562779443403e-06,Abnormal
tf_GLRLM_ShortRunEmphasis,0,2.5517892363460077e-06,Abnormal
tf_GLRLM_ShortRunEmphasis,1,0.02388898532601731,Abnormal
tf_GLRLM_ShortRunHighGrayLevelEmphasis,0,1.8430985150748084e-07,Abnormal
tf_GLRLM_ShortRunHighGrayLevelEmphasis,1,0.00044325742015031874,Abnormal
tf_GLRLM_ShortRunLowGrayLevelEmphasis,0,0.0004188376380956012,Abnormal
tf_GLRLM_ShortRunLowGrayLevelEmphasis,1,7.007529463306439e-05,Abnormal
tf_GLSZM_GrayLevelNonUniformity,0,1.7149233900114108e-10,Abnormal
tf_GLSZM_GrayLevelNonUniformity,1,5.508799843995327e-10,Abnormal
tf_GLSZM_GrayLevelNonUniformityNormalized,0,1.348177712322802e-08,Abnormal
tf_GLSZM_GrayLevelNonUniformityNormalized,1,1.0102654792002672e-05,Abnormal
tf_GLSZM_GrayLevelVariance,0,1.3481777123227896e-08,Abnormal
tf_GLSZM_GrayLevelVariance,1,1.0102654792002822e-05,Abnormal
tf_GLSZM_HighGrayLevelZoneEmphasis,0,2.3014344848003816e-08,Abnormal
tf_GLSZM_HighGrayLevelZoneEmphasis,1,1.747607488226301e-05,Abnormal
tf_GLSZM_LargeAreaEmphasis,0,8.496365555000636e-15,Abnormal
tf_GLSZM_LargeAreaEmphasis,1,1.2103949735954783e-12,Abnormal
tf_GLSZM_LargeAreaHighGrayLevelEmphasis,0,3.5426962281193963e-15,Abnormal
tf_GLSZM_LargeAreaHighGrayLevelEmphasis,1,3.8960019383119334e-13,Abnormal
tf_GLSZM_LargeAreaLowGrayLevelEmphasis,0,2.8633277202752585e-13,Abnormal
tf_GLSZM_LargeAreaLowGrayLevelEmphasis,1,1.325959700678963e-10,Abnormal
tf_GLSZM_LowGrayLevelZoneEmphasis,0,2.3014344848004743e-08,Abnormal
tf_GLSZM_LowGrayLevelZoneEmphasis,1,1.7476074882262676e-05,Abnormal
tf_GLSZM_SizeZoneNonUniformity,0,8.669709035084833e-14,Abnormal
tf_GLSZM_SizeZoneNonUniformity,1,3.318529140462832e-11,Abnormal
tf_GLSZM_SizeZoneNonUniformityNormalized,0,3.2044981215298845e-08,Abnormal
tf_GLSZM_SizeZoneNonUniformityNormalized,1,2.339834364448248e-06,Abnormal
tf_GLSZM_SmallAreaEmphasis,0,2.3329181872434297e-10,Abnormal
tf_GLSZM_SmallAreaEmphasis,1,8.173329756503485e-06,Abnormal
tf_GLSZM_SmallAreaHighGrayLevelEmphasis,0,2.332622351568597e-10,Abnormal
tf_GLSZM_SmallAreaHighGrayLevelEmphasis,1,1.4093597339939396e-05,Abnormal
tf_GLSZM_SmallAreaLowGrayLevelEmphasis,0,2.332991697013017e-10,Abnormal
tf_GLSZM_SmallAreaLowGrayLevelEmphasis,1,6.4929360557186746e-06,Abnormal
tf_GLSZM_ZoneEntropy,0,1.0058871204987153e-07,Abnormal
tf_GLSZM_ZoneEntropy,1,3.3345966762210244e-05,Abnormal
tf_GLSZM_ZonePercentage,0,4.385549809058027e-11,Abnormal
tf_GLSZM_ZonePercentage,1,2.8860287629776585e-06,Abnormal
tf_GLSZM_ZoneVariance,0,2.730975899963467e-15,Abnormal
tf_GLSZM_ZoneVariance,1,2.680367707204876e-13,Abnormal
tf_Gabor_0.05A0.0kurt,0,1.4858400518048183e-06,Abnormal
tf_Gabor_0.05A0.0kurt,1,0.008189284861544176,Abnormal
tf_Gabor_0.05A0.0max,0,0.25100858354681455,Normal
tf_Gabor_0.05A0.0max,1,0.025193182086626437,Abnormal
tf_Gabor_0.05A0.0mean,0,0.043785268239981724,Abnormal
tf_Gabor_0.05A0.0mean,1,0.00029676701865135615,Abnormal
tf_Gabor_0.05A0.0min,0,0.031992571497749284,Abnormal
tf_Gabor_0.05A0.0min,1,0.00043743292381450956,Abnormal
tf_Gabor_0.05A0.0skew,0,3.87926605434041e-09,Abnormal
tf_Gabor_0.05A0.0skew,1,0.00021576885994099685,Abnormal
tf_Gabor_0.05A0.0std,0,0.007476809183352678,Abnormal
tf_Gabor_0.05A0.0std,1,3.873039912995321e-06,Abnormal
tf_Gabor_0.05A0.79kurt,0,0.003974983784228444,Abnormal
tf_Gabor_0.05A0.79kurt,1,0.23058558221537495,Normal
tf_Gabor_0.05A0.79max,0,0.5642910800349332,Normal
tf_Gabor_0.05A0.79max,1,0.02584027631187049,Abnormal
tf_Gabor_0.05A0.79mean,0,1.7939146849090088e-09,Abnormal
tf_Gabor_0.05A0.79mean,1,1.4445922880865268e-05,Abnormal
tf_Gabor_0.05A0.79min,0,0.0008975617674946389,Abnormal
tf_Gabor_0.05A0.79min,1,0.16743690115824195,Normal
tf_Gabor_0.05A0.79skew,0,5.766381620290465e-07,Abnormal
tf_Gabor_0.05A0.79skew,1,0.0023796018613399528,Abnormal
tf_Gabor_0.05A0.79std,0,4.542878718707972e-08,Abnormal
tf_Gabor_0.05A0.79std,1,0.001085578042360724,Abnormal
tf_Gabor_0.05A1.57kurt,0,0.005586633312134426,Abnormal
tf_Gabor_0.05A1.57kurt,1,0.6315689225077854,Normal
tf_Gabor_0.05A1.57max,0,0.08676512654873778,Normal
tf_Gabor_0.05A1.57max,1,0.7498190671742612,Normal
tf_Gabor_0.05A1.57mean,0,0.010653146013944435,Abnormal
tf_Gabor_0.05A1.57mean,1,0.42394212560026073,Normal
